Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C14, C15, C16, C17, C18, C2, C20, C21, C23, C24, C3, C7",C_0402,14,100nF,C1525
"C10, C4, C5",C_0402,3,10nF,C15195
"C12, C13",C_0603,2,2.2uF,C23630
C19,C_0603,1,4.7uF,C19666
C22,C_0402,1,1uF,C52923
C6,C_0402,1,10uF,C15525
C8,C_0402,1,2.2uF,C12530
C9,C_0603,1,10uF,
"CN1, CN2",SM04B-SRSS-TB_LF_SN,2,SM04B-SRSS-TB_LF_SN,C160404
D1,D_SMF,1,SMF6V5A,
"H1, H2, H3, H4","Hole, 3mm",4,~,
"H10, H5, H6, H7",Hole_Tooling_JLCPCB,4,~,
"H8, H9",KH-1_27PH180-1X16P-L7_2,2,KH-1_27PH180-1X16P-L7_2,C2938407
J7,KH-TYPE-C-16P,1,KH-TYPE-C-16P,C709357
"LED1, LED4",KT-0603R,2,KT-0603R,C2286
LED2,0805G_Green,1,0805G_Green,C2297
LED3,17-21SUYC_TR8,1,17-21SUYC_TR8,C2296
Q1,Q_SOT-23,1,MMBT3904,C7420353
R1,R_0402,1,100kΩ,C25741
"R12, R17, R18, R2, R4, R5",R_0402,6,10kΩ,C25744
"R13, R6, R7",R_0402,3,5.1kΩ,C25905
"R14, R15, R16, R3",R_0402,4,330Ω,C25104
"R8, R9",R_0603,2,4.7kΩ,C23162
"SW1, SW2",TS-1088-AR02016,2,TS-1088-AR02016,C720477
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_1.5x1.5mm,6,TestPoint,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32H743VIT6,
U2,SOT-666,1,USBLC6-2P6,
U3,W25Q128JVSIQTR,1,W25Q128JVSIQTR,C97521
U4,ICM-42688-P,1,ICM-42688-P,C1850418
U5,MS561101BA03-50,1,MS561101BA03-50,C15639
X1,ASDM1-24_000MHZ-LC-T,1,ASDM1-24_000MHZ-LC-T,C1987235
