Designator,Mid X,Mid Y,Rotation,Layer
C1,158.75,-97.274949,180.0,top
C10,158.75,-88.002413,180.0,top
C11,154.25,-113.0,0.0,top
C12,138.0,-89.25,180.0,top
C13,153.25,-95.0,270.0,top
C14,142.0,-108.25,180.0,top
C15,153.0,-105.0,270.0,top
C16,152.0,-92.0,0.0,top
C17,136.75,-90.75,90.0,top
C18,139.75,-109.1,270.0,top
C19,133.25,-104.25,90.0,top
C2,138.65,-111.1,270.0,top
C20,134.5,-104.5,90.0,top
C21,148.5,-108.25,0.0,top
C22,148.5,-109.25,0.0,top
C23,146.5,-108.25,180.0,top
C24,158.75,-87.0,180.0,top
C3,129.75,-110.0,270.0,top
C4,139.75,-111.1,270.0,top
C5,130.75,-110.0,270.0,top
C6,158.75,-96.199949,180.0,top
C7,156.305067,-88.502413,90.0,top
C8,155.305067,-88.502413,90.0,top
C9,135.0,-82.75,90.0,top
CN1,147.25,-117.5,0.0,top
CN2,140.25,-117.5,0.0,top
D1,137.0,-82.0,90.0,top
H1,159.75,-83.0,0.0,top
H10,153.75,-122.0,0.0,top
H2,127.75,-115.0,0.0,top
H3,159.75,-115.0,0.0,top
H4,127.75,-83.0,0.0,top
H5,153.75,-76.0,0.0,top
H6,133.75,-76.0,0.0,top
H7,133.75,-122.0,0.0,top
H8,122.75,-99.0,90.0,top
H9,164.75,-99.0,270.0,top
J7,143.75,-80.374987,180.0,top
LED1,132.25,-80.5,270.0,top
LED2,127.75,-90.5,270.0,top
LED3,131.75,-90.5,270.0,top
LED4,154.75,-79.4,0.0,top
Q1,154.05,-82.56,90.0,top
R1,133.75,-83.0,90.0,top
R12,154.25,-114.0,180.0,top
R13,159.0,-109.75,90.0,top
R14,131.75,-87.5,0.0,top
R15,127.75,-87.5,0.0,top
R16,155.0,-77.9,180.0,top
R17,152.5,-85.5,180.0,top
R18,156.0,-85.5,180.0,top
R2,133.75,-81.0,90.0,top
R3,134.25,-79.5,0.0,top
R4,135.25,-118.0,180.0,top
R5,132.75,-107.25,0.0,top
R6,146.25,-85.0,270.0,top
R7,142.5,-85.0,270.0,top
R8,157.0,-104.699949,0.0,top
R9,157.0,-103.199949,0.0,top
SW1,153.75,-117.5,90.0,top
SW2,161.25,-108.0,270.0,top
TP1,144.5,-91.75,0.0,bottom
TP2,142.0,-91.0,0.0,bottom
TP3,136.25,-104.25,0.0,bottom
TP4,136.25,-101.75,0.0,bottom
TP5,133.75,-101.75,0.0,bottom
TP6,133.75,-104.25,0.0,bottom
U1,143.75,-99.0,0.0,top
U2,144.25,-85.5,270.0,top
U3,134.25,-112.5,0.0,top
U4,158.75,-90.25,180.0,top
U5,157.375095,-100.199949,180.0,top
X1,142.3,-110.5,0.0,top
