Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C15, C16, C2, C21, C26, C28, C3, C31, C4, C5, C6, C7, C8, C9",C_0402,16,100nF,C1525
"C11, C14, C25, C29",C_0402,4,10nF,C15195
"C12, C13, C24",C_0603,3,2.2uF,C23630
C17,C_0402,1,4.7uF,C23733
"C18, C19, C20",C_0603,3,4.7uF,C19666
"C22, C23",C_0402,2,1uF,C52923
C27,C_0805,1,47uF,C16780
C30,C_0402,1,10uF,C15525
"CN3, CN4",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,2,SM04B-SRSS-TB_LF_SN,C160404
"H1, H2, H3, H4","Hole, 3mm",4,~,
"H10, H5, H6, H7",Hole_Tooling_JLCPCB,4,~,
"H11, H12",KH-1_27PH180-1X16P-L7_2,2,KH-1_27PH180-1X16P-L7_2,C2938407
J7,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,KH-TYPE-C-16P,
LED1,0603,1,LED_0603_Green,
"LED2, LED4, LED5",0603,3,LED_0603_Red,
LED3,0603,1,LED_0603_Blue,
Q1,SOT-23,1,MMBT3904,
R1,R_0402,1,47Ω,C25118
"R10, R15, R16, R17, R20",R_0402,5,330Ω,C25104
"R11, R12",R_0402,2,5.1kΩ,C25905
R13,R_0402,1,33kΩ,C25779
R14,R_0402,1,100kΩ,C25741
"R18, R19",R_0402,2,4.7kΩ,C25900
"R2, R5, R6, R7, R8, R9",R_0402,6,10kΩ,C25744
R3,R_0402,1,1kΩ,C11702
R4,R_0402,1,33Ω,C25105
"S1, S2",SW_TS-1088-AR02016,2,"Tactile Button, 160gf",C720477
"TIE1, TIE10, TIE11, TIE12, TIE13, TIE14, TIE3, TIE4, TIE5, TIE6, TIE7, TIE8, TIE9",JUMPER_SMD_1x2_tiny_shorted,13,NetTie,
"TP1, TP17, TP18, TP4",TestPoint_Pad_04,4,TestPoint_Flag,
"TP11, TP12, TP13, TP14, TP15, TP16, TP2, TP21, TP22, TP23, TP24, TP3, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_04,17,TestPoint_Probe,
"TP19, TP20, TP25",SolderWirePad_1x01_SMD_2x4mm,3,TestPoint_Flag,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32H743VIT6,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U4,SOT-23-5,1,MAX40200AUK,
U5,SOT-23-5,1,AP2112K-3.3,
U6,ICM-42688-P,1,ICM-42688-P,C1850418
U7,LGA-8_3x5mm_P1.25mm,1,MS5611-01BA03-50,
U8,SOT-666,1,USBLC6-2P6,
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,ASDM1-24_000MHZ-LC-T,C1987235
