Designator,Mid X,Mid Y,Rotation,Layer
C1,9.25,-6.0,270.0,top
C10,-4.0,-11.75,270.0,top
C11,-3.0,-11.75,270.0,top
C12,-6.6,9.8,180.0,top
C13,10.5,4.25,0.0,top
C14,-17.7,-13.5,180.0,top
C15,-6.5,-12.25,180.0,top
C16,-17.699999,-14.5,180.0,top
C17,2.3,13.25,270.0,top
C18,-5.25,12.25,270.0,top
C19,11.25,5.9,0.0,top
C2,9.25,6.0,270.0,top
C20,-11.0,12.25,90.0,top
C21,-12.0,0.75,0.0,top
C22,4.75,-10.25,0.0,top
C23,2.75,-10.25,180.0,top
C24,-13.75,1.0,90.0,top
C25,-12.0,1.75,0.0,top
C26,4.500001,-12.25,180.0,top
C27,8.199999,-11.0,0.0,top
C28,-13.75,3.499999,270.0,top
C29,-13.75,5.499999,90.0,top
C3,-7.0,8.2,90.0,top
C30,16.75,0.125,180.0,top
C31,16.75,-0.875,180.0,top
C4,-9.25,-5.9,90.0,top
C5,-2.0,-9.25,180.0,top
C6,2.75,-9.25,180.0,top
C7,-3.5,-9.75,270.0,top
C8,4.75,-9.25,0.0,top
C9,16.5,-12.500001,90.0,top
CN3,-5.5,-16.0,0.0,top
CN4,5.5,-16.0,0.0,top
H1,-13.0,20.0,0.0,top
H10,-17.5,-19.5,0.0,top
H11,-20.75,0.0,270.0,top
H12,20.75,0.0,90.0,top
H2,13.0,20.0,0.0,top
H3,13.0,-20.0,0.0,top
H4,-13.0,-20.0,0.0,top
H5,17.5,19.5,0.0,top
H6,-17.5,19.5,0.0,top
H7,17.5,-19.5,0.0,top
J7,0.0,19.0,180.0,top
LED1,-17.6125,-5.65,0.0,top
LED2,-17.6125,-2.9,0.0,top
LED3,7.5,19.0,0.0,top
LED4,-8.0,17.5,0.0,top
LED5,-16.25,15.0,0.0,top
Q1,7.75,15.95,0.0,top
R1,3.75,-11.25,180.0,top
R10,7.8,20.6,180.0,top
R11,1.3,13.25,270.0,top
R12,-2.0,13.25,270.0,top
R13,-7.0,15.25,90.0,top
R14,-8.0,15.25,270.0,top
R15,-7.6,18.8,0.0,top
R16,-16.3,-4.22,180.0,top
R17,-16.3,-6.97,180.0,top
R18,14.075,3.125001,270.0,top
R19,14.075,1.125,90.0,top
R2,16.5,13.5,90.0,top
R20,-13.5,14.5,180.0,top
R3,21.500001,15.25,180.0,top
R4,0.25,-9.25,0.0,top
R5,-1.0,-13.75,180.0,top
R6,10.25,15.0,90.0,top
R7,11.25,15.0,90.0,top
R8,-8.55,-9.0,270.0,top
R9,-19.8,-13.6,90.0,top
S1,20.0,-13.0,180.0,top
S2,20.0,13.0,180.0,top
TIE1,-4.5,-9.990001,270.0,top
TIE10,7.5,-9.5,0.0,top
TIE11,-6.25,-11.25,180.0,top
TIE12,15.0,-0.9,180.0,top
TIE13,17.825,6.865001,90.0,top
TIE14,14.825,6.875,90.0,top
TIE3,5.5,-11.25,0.0,top
TIE4,-5.0,-11.490001,90.0,top
TIE5,-17.6,-15.5,180.0,top
TIE6,-14.75,3.759999,270.0,top
TIE7,-15.240001,0.25,180.0,top
TIE8,-6.0,15.0,90.0,top
TIE9,-16.5,11.490001,90.0,top
TP1,-12.25,-2.25,0.0,top
TP11,-3.9,0.5,0.0,bottom
TP12,10.5,2.9,0.0,bottom
TP13,8.7,2.9,0.0,bottom
TP14,8.7,1.3,0.0,bottom
TP15,-1.25,5.75,90.0,bottom
TP16,0.5,5.75,90.0,bottom
TP17,-10.5,-4.0,0.0,top
TP18,-12.25,-4.0,0.0,top
TP19,11.5,-13.07325,0.0,bottom
TP2,10.75,-4.4,0.0,bottom
TP20,-6.7,15.4,0.0,bottom
TP21,17.75,-15.75,0.0,top
TP22,17.75,15.75,0.0,top
TP23,1.0,-14.25,0.0,top
TP24,10.25,13.0,0.0,top
TP25,14.5,-13.07325,0.0,bottom
TP3,12.75,-4.4,0.0,bottom
TP4,-10.5,-2.25,0.0,top
TP5,-0.5,12.8,0.0,bottom
TP6,-6.2,18.7,0.0,bottom
TP7,-8.7,16.9,0.0,bottom
TP8,-13.9,11.5,0.0,bottom
TP9,-17.8,11.5,0.0,bottom
U1,0.0,0.0,0.0,top
U2,-13.7,-10.5,90.0,top
U4,-14.0,12.25,0.0,top
U5,-8.1125,12.199999,0.0,top
U6,-11.75,4.5,270.0,top
U7,16.325,3.375,180.0,top
U8,-0.5,12.6,270.0,top
X1,-0.5,-11.5,0.0,top
