Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C4",C_0603,3,100nF,C14663
C10,C_1206,1,100uF,C15008
C18,C_0603,1,10uF,C96446
C19,C_0402,1,2.2nF,C1531
"C2, C3",C_0603,2,1uF,C15849
C6,C_1206,1,10uF,C13585
CN1,XT30UPB-M,1,XT30UPB-M,C428721
D1,SMAJ15A_C908769,1,SMAJ15A_C908769,C908769
D2,D_SMA,1,SS34,C8678
"H1, H2, H3, H4","Hole, 3mm",4,~,
"H5, H6, H7, H8",Hole_Tooling_JLCPCB,4,~,
H9,HX_PZ2_54-3X6P_ZZ,1,HX_PZ2_54-3X6P_ZZ,C32713293
J7,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Conn_01x05,
J8,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
LED1,KT-0603R,1,KT-0603R,C2286
"LED2, LED4",17-21SUYC_TR8,2,17-21SUYC_TR8,C2296
LED3,0805G_Green,1,0805G_Green,C2297
R1,R_0603,1,100kΩ,C25803
R15,R_0603,1,62kΩ,C23221
R16,R_0603,1,10kΩ,C25804
R2,R_0603,1,33kΩ,C4216
R3,1206,1,10m_1206_250mW,
R4,R_0603,1,180kΩ,C22827
R5,R_0603,1,470Ω,C23179
"R6, R7, R8",R_0402,3,220Ω,C25091
TP1,TestPoint_Pad_4.0x4.0mm,1,BATT-,
"TP12, TP13, TP14, TP15, TP16, TP17, TP3, TP4",TestPoint_Pad_D1.0mm,8,TestPoint,
TP2,TestPoint_Pad_4.0x4.0mm,1,BATT+,
U1,TPS62135RGXR,1,TPS62135RGXR,C167238
U2,IHLP2525CZER1R0M01,1,IHLP2525CZER1R0M01,C845018
U3,LM358DR2G,1,LM358DR2G,C7950
U5,SOT-23-5,1,AP2112K-3.3,
"U6, U7",X1311FV-16-C43D24,2,X1311FV-16-C43D24,C2881448
