Designator,Mid X,Mid Y,Rotation,Layer
C1,146.5,-76.75,90.0,top
C10,124.0,-81.0,180.0,top
C11,117.5,-96.03,90.0,top
C18,131.0,-91.0,0.0,top
C19,128.5,-93.4,270.0,top
C2,146.0,-92.5,180.0,top
C3,145.75,-97.5,0.0,top
C4,124.38,-83.0,180.0,top
C6,134.5,-91.73,90.0,top
CN1,133.0,-112.0,270.0,top
D1,124.5,-112.5,270.0,top
D2,128.0,-112.5,270.0,top
H1,150.0,-112.0,0.0,top
H2,118.0,-112.0,0.0,top
H3,118.0,-80.0,0.0,top
H4,150.0,-80.0,0.0,top
H5,124.0,-119.0,0.0,top
H6,144.0,-119.0,0.0,top
H7,124.0,-73.0,0.0,top
H8,144.0,-73.0,0.0,top
H9,134.270003,-77.540005,0.0,top
J7,134.5,-85.25,0.0,top
J8,150.0,-95.29,0.0,top
JP3,144.0,-77.5,90.0,top
LED1,122.57,-107.18,0.0,top
LED2,145.75,-90.75,0.0,top
LED3,148.75,-106.0,90.0,top
LED4,151.25,-106.0,90.0,top
R1,139.0,-97.75,90.0,top
R15,140.5,-97.75,270.0,top
R16,139.75,-100.5,180.0,top
R2,119.0,-105.5,180.0,top
R3,121.7875,-103.25,180.0,top
R4,122.5,-105.5,180.0,top
R5,119.5,-107.18,0.0,top
R6,143.0,-90.75,270.0,top
R7,147.0,-106.449708,90.0,top
R8,153.0,-106.449708,90.0,top
TP1,138.75,-109.25,90.0,top
TP12,119.0,-103.25,0.0,bottom
TP13,120.75,-105.5,0.0,bottom
TP14,118.0,-100.75,0.0,bottom
TP15,121.0,-93.0,0.0,bottom
TP16,148.5,-105.5,0.0,bottom
TP17,150.5,-105.5,0.0,bottom
TP2,138.75,-114.75,90.0,top
TP3,142.25,-96.0,0.0,top
TP4,116.25,-104.25,0.0,top
U1,130.999873,-93.0,270.0,top
U2,132.749873,-98.2,0.0,top
U3,121.0,-98.0,0.0,top
U5,146.0,-95.0,180.0,top
U6,113.0,-96.0,90.0,bottom
U7,155.0,-96.0,270.0,bottom
