Designator,Footprint,Quantity,Value,LCSC Part #
BT1,AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,1,Battery,
"C1, C7, C8",C_0402,3,100nF,C1525
C19,C_0402,1,2.2nF,C1531
"C2, C3, C4, C5",C_0805,4,10uF,C15850
C6,CP_Radial_D10.0mm_P5.00mm,1,1000uF_16V,
D1,D_SMA,1,SMAJ12CA,
D2,D_SMA,1,SS34,
F1,38216300000,1,38216300000,C142713
"H1, H2, H3, H4",Hole_Tooling_JLCPCB,4,~,
"H10, H9",KH-1_27PH180-1X16P-L7_2,2,KH-1_27PH180-1X16P-L7_2,C2938407
"H5, H6, H7, H8","Hole, 3mm",4,~,
J1,ServoPort_06_Vertical,1,ServoPort_06,
"J2, J3",JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,2,Conn_01x05,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
LED1,0603,1,LED_0603_Red,
LED2,0603,1,LED_0603_Orange,
"LED3, LED4",0603,2,LED_0603_Green,
Q1,SOT-23,1,2N7002,
"R1, R11",R_0402,2,100kΩ,C25741
"R10, R8, R9",R_0402,3,220Ω,C25091
R2,R_0402,1,100Ω,C25076
R3,R_0603,1,9.1kΩ,C23260
R4,R_0603,1,56kΩ,C23206
R5,R_0603,1,180kΩ,C22827
R6,R_0402,1,10kΩ,C25744
R7,R_0402,1,470Ω,C25117
"TP1, TP2, TP3, TP4, TP7, TP8",TestPoint_Pad_04,6,TestPoint_Probe,
"TP10, TP9",SolderWirePad_1x01_SMD_4x8mm,2,TestPoint_Flag,
U1,TPS62135RGXR,1,TPS62135RGXR,C167238
U2,IHLP2525CZER1R0M01,1,IHLP2525CZER1R0M01,C845018
U4,Diodes_SOT-89-5,1,AP2115R5A-3.3TRG1,
