Designator,Mid X,Mid Y,Rotation,Layer
BT1,0.0,-12.0,0.0,top
C1,-36.25,6.65,0.0,top
C19,-36.25,1.1,0.0,top
C2,-29.75,6.05,0.0,top
C3,-29.75,3.0,0.0,top
C4,1.75,12.5,0.0,top
C5,6.883885,9.323224,270.0,top
C6,12.5,1.367677,270.0,top
C7,8.5,5.5,45.0,top
C8,-11.5,-3.0,270.0,top
D1,0.0,-7.0,180.0,top
D2,-6.75,-5.0,270.0,top
F1,12.5,11.5,270.0,top
H1,-17.5,19.5,0.0,top
H10,-20.75,0.0,270.0,bottom
H2,17.5,19.5,0.0,top
H3,-17.5,-19.5,0.0,top
H4,17.5,-19.5,0.0,top
H5,-13.0,20.0,0.0,top
H6,13.0,20.0,0.0,top
H7,-13.0,-20.0,0.0,top
H8,13.0,-20.0,0.0,top
H9,20.75,0.0,90.0,bottom
J1,0.0,18.0,90.0,top
J2,-15.0,-7.5,270.0,top
J3,-15.0,7.5,270.0,top
J4,14.975001,-11.25,90.0,top
LED1,-9.75,-3.75,90.0,top
LED2,20.75,13.5,270.0,top
LED3,-9.0,12.0,180.0,top
LED4,-9.0,8.5,180.0,top
Q1,16.5,-5.0,0.0,top
R1,-36.25,-0.75,0.0,top
R10,-8.75,6.75,180.0,top
R11,7.5,-8.0,0.0,top
R2,19.0,-6.0,270.0,top
R3,-33.62,6.55,0.0,top
R4,-33.62,4.3,0.0,top
R5,5.0,-8.0,0.0,top
R6,19.0,-4.0,270.0,top
R7,-10.25,-6.0,180.0,top
R8,19.0,13.75,270.0,top
R9,-8.75,10.25,180.0,top
TP1,-32.275,0.675,0.0,top
TP10,4.5,-17.5,270.0,top
TP2,-32.275,-1.875,0.0,top
TP3,6.75,6.75,0.0,top
TP4,-29.725,-1.875,0.0,top
TP7,-27.175,0.675,0.0,top
TP8,6.75,12.0,0.0,top
TP9,-4.5,-17.5,90.0,top
U1,0.0,4.0,270.0,top
U2,-0.000128,-1.5,180.0,top
U4,2.75,8.75,0.0,top
